lp,n,pk,pm,t,fmax,favg
2751,55,0.75,0.0001,50,1.860494394008518,1.8594774219139258
2752,55,0.75,0.0001,60,1.8333512797088034,1.8314346784648992
2753,55,0.75,0.0001,70,1.8569303250197102,1.8552296976633886
2754,55,0.75,0.0001,80,1.8295383517708215,1.8292698759643164
2755,55,0.75,0.0001,90,1.8330631832993518,1.831326064631133
2756,55,0.75,0.0001,100,1.846339029804837,1.8454398631319475
2757,55,0.75,0.0001,110,1.8508022027484856,1.8489174756962334
2758,55,0.75,0.0001,120,1.8542352619570468,1.852936847280021
2759,55,0.75,0.0001,130,1.853930352412253,1.8524637720257775
2760,55,0.75,0.0001,140,1.8586521603922785,1.857223912175902
2761,55,0.75,0.0001,150,1.842393865593055,1.8400725087241505
2762,55,0.75,0.0005,50,1.8160744066703922,1.8088670092908326
2763,55,0.75,0.0005,60,1.8391732398638572,1.8327217178153674
2764,55,0.75,0.0005,70,1.8440659783845805,1.8404410636734159
2765,55,0.75,0.0005,80,1.8173847951860345,1.81055129899981
2766,55,0.75,0.0005,90,1.855540368977719,1.847857150837017
2767,55,0.75,0.0005,100,1.8468138431954386,1.839465616611265
2768,55,0.75,0.0005,110,1.8654163852309227,1.8564221721321739
2769,55,0.75,0.0005,120,1.8582626455357785,1.8528980071240246
2770,55,0.75,0.0005,130,1.8652894703803715,1.8569954118423146
2771,55,0.75,0.0005,140,1.8315568639132633,1.8260608018286815
2772,55,0.75,0.0005,150,1.8451718242834891,1.8390542938297767
2773,55,0.75,0.001,50,1.8416558769521947,1.823446719694602
2774,55,0.75,0.001,60,1.860776986185084,1.8430370440171528
2775,55,0.75,0.001,70,1.838455074899975,1.8223976134773954
2776,55,0.75,0.001,80,1.8651156693698274,1.8520876889151336
2777,55,0.75,0.001,90,1.8737119904832342,1.8573796830172387
2778,55,0.75,0.001,100,1.8470785901058335,1.83376416365178
2779,55,0.75,0.001,110,1.8218227103985596,1.80642656719114
2780,55,0.75,0.001,120,1.8674429830989236,1.8526436381215106
2781,55,0.75,0.001,130,1.8427292711876586,1.8303944701748143
2782,55,0.75,0.001,140,1.8463702198360243,1.828454617700508
2783,55,0.75,0.001,150,1.8443300480974827,1.8317438215388926
2784,55,0.75,0.005,50,1.8894138477207212,1.77404549924395
2785,55,0.75,0.005,60,1.8662812418242314,1.7641692514624479
2786,55,0.75,0.005,70,1.8921599306398051,1.7924637007957778
2787,55,0.75,0.005,80,1.8963641105770994,1.7898355917472997
2788,55,0.75,0.005,90,1.9007214822969387,1.79379572783431
2789,55,0.75,0.005,100,1.8835437673652675,1.7829176875325772
2790,55,0.75,0.005,110,1.8727387374918698,1.776338479390098
2791,55,0.75,0.005,120,1.9151270483043452,1.8128446729415295
2792,55,0.75,0.005,130,1.8690492930953722,1.773482672259629
2793,55,0.75,0.005,140,1.9025893922289772,1.7995490717676186
2794,55,0.75,0.005,150,1.8789892662884033,1.777829134780169
2795,55,0.75,0.01,50,1.9098046536678306,1.668990218384789
2796,55,0.75,0.01,60,1.9024728463829599,1.6685386254008971
2797,55,0.75,0.01,70,1.9214854596620754,1.6834055045624554
2798,55,0.75,0.01,80,1.9305321255571244,1.6883514465034457
2799,55,0.75,0.01,90,1.9261305693071156,1.6900621727180416
2800,55,0.75,0.01,100,1.9344515519993282,1.70118350514726
2801,55,0.75,0.01,110,1.9111346436547052,1.7012299483787394
2802,55,0.75,0.01,120,1.9076708809081406,1.6956970156859146
2803,55,0.75,0.01,130,1.9370860530349054,1.696842250485326
2804,55,0.75,0.01,140,1.9396121686675662,1.7306402389374234
2805,55,0.75,0.01,150,1.9236261464471949,1.698256794382093
2806,55,0.8,0.0001,50,1.8326172341297111,1.8286638432140507
2807,55,0.8,0.0001,60,1.8403256179672565,1.8393834012749335
2808,55,0.8,0.0001,70,1.8624294334636227,1.8607800124858371
2809,55,0.8,0.0001,80,1.8380845877805247,1.8369728599321784
2810,55,0.8,0.0001,90,1.847325043300894,1.8452189806931671
2811,55,0.8,0.0001,100,1.8119418459583896,1.810972209535319
2812,55,0.8,0.0001,110,1.8484708198585875,1.8470321016958717
2813,55,0.8,0.0001,120,1.8531379775665906,1.8512224374074193
2814,55,0.8,0.0001,130,1.8196351197115304,1.8189104269275846
2815,55,0.8,0.0001,140,1.8523520186327596,1.8508739125787985
2816,55,0.8,0.0001,150,1.8331062449155597,1.8324470153682335
2817,55,0.8,0.0005,50,1.8501629348489967,1.8376730852917535
2818,55,0.8,0.0005,60,1.8705761917631225,1.8629061017602726
2819,55,0.8,0.0005,70,1.854657439285624,1.8467758182740825
2820,55,0.8,0.0005,80,1.8415488827927355,1.8376356169731982
2821,55,0.8,0.0005,90,1.8308167557536208,1.8224528545112242
2822,55,0.8,0.0005,100,1.8553916530716725,1.84839620710693
2823,55,0.8,0.0005,110,1.8236573073671405,1.8179895411496614
2824,55,0.8,0.0005,120,1.8783571797065772,1.8715006162053012
2825,55,0.8,0.0005,130,1.8410340307159527,1.835029230950115
2826,55,0.8,0.0005,140,1.8362413865590617,1.8286673999474379
2827,55,0.8,0.0005,150,1.8280708907233187,1.8204836246514555
2828,55,0.8,0.001,50,1.859924751150362,1.8407647912390934
2829,55,0.8,0.001,60,1.8312952855468096,1.8167571334637773
2830,55,0.8,0.001,70,1.8546326383069631,1.8404026671193798
2831,55,0.8,0.001,80,1.866977181861314,1.8579362610179757
2832,55,0.8,0.001,90,1.8660565373316749,1.8491084815223575
2833,55,0.8,0.001,100,1.850972506190758,1.8372380328338438
2834,55,0.8,0.001,110,1.8512836072404617,1.836936108035633
2835,55,0.8,0.001,120,1.8494922432519365,1.8322378737115346
2836,55,0.8,0.001,130,1.8472387832807151,1.8332851096103706
2837,55,0.8,0.001,140,1.8538022884829497,1.8400270978157074
2838,55,0.8,0.001,150,1.8612778905313383,1.8513666601336212
2839,55,0.8,0.005,50,1.8999456377889987,1.7673039538322612
2840,55,0.8,0.005,60,1.8654608454009327,1.7516901888965821
2841,55,0.8,0.005,70,1.8690090779477249,1.7573318296123928
2842,55,0.8,0.005,80,1.8776656051064513,1.7614180515677225
2843,55,0.8,0.005,90,1.87222147800018,1.777878974481616
2844,55,0.8,0.005,100,1.9017218380045768,1.7845060294974817
2845,55,0.8,0.005,110,1.9001087342728868,1.7985417630856686
2846,55,0.8,0.005,120,1.9002205877252558,1.8005393238507224
2847,55,0.8,0.005,130,1.8725793447071033,1.7773515148291028
2848,55,0.8,0.005,140,1.8836894597298544,1.7848138905978814
2849,55,0.8,0.005,150,1.9049251822786735,1.8001200840302898
2850,55,0.8,0.01,50,1.9218373804980646,1.6812172456925962
2851,55,0.8,0.01,60,1.92392409920352,1.6813321831155768
2852,55,0.8,0.01,70,1.9127160297695611,1.6758762042391877
2853,55,0.8,0.01,80,1.9352083777693203,1.706314178732559
2854,55,0.8,0.01,90,1.9034253549550442,1.6694279640043101
2855,55,0.8,0.01,100,1.9361514753674651,1.7098083602595786
2856,55,0.8,0.01,110,1.9035530291419003,1.6859752751612407
2857,55,0.8,0.01,120,1.932445593507148,1.7087429395825373
2858,55,0.8,0.01,130,1.9348803456082249,1.7254206783916268
2859,55,0.8,0.01,140,1.9420576356669077,1.7264918664839204
